location_id,recorded_at,predicted_demand_l
loc_001,2026-01-19 00:00:19+00:00,2964.979175768167
loc_002,2026-01-19 00:00:19+00:00,2812.8131644094947
loc_003,2026-01-19 00:00:19+00:00,6364.455511868357
loc_004,2026-01-19 00:00:19+00:00,3104.1304791029565
loc_005,2026-01-19 00:00:19+00:00,3617.945536624436
loc_006,2026-01-19 00:00:19+00:00,3471.3429445172565
loc_007,2026-01-19 00:00:19+00:00,3546.2088248143295
loc_008,2026-01-19 00:00:19+00:00,3504.883646424931
loc_009,2026-01-19 00:00:19+00:00,3188.7572447939424
loc_010,2026-01-19 00:00:19+00:00,2949.2937236056505
loc_011,2026-01-19 00:00:19+00:00,3469.448667540411
loc_012,2026-01-19 00:00:19+00:00,3652.785787097714
loc_013,2026-01-19 00:00:19+00:00,3561.0939274792486
loc_014,2026-01-19 00:00:19+00:00,3586.6369593709046
loc_015,2026-01-19 00:00:19+00:00,3547.2567351099465
loc_016,2026-01-19 00:00:19+00:00,3439.7926314256592
loc_017,2026-01-19 00:00:19+00:00,3434.647444298821
loc_018,2026-01-19 00:00:19+00:00,3112.194553662444
loc_019,2026-01-19 00:00:19+00:00,3134.400465996797
