device_id,recorded_at,pressure_pa,battery_v,lat,lon,hdop,sat_count,fix_type,speed_mps,msg_type,event_type,pressure_prev,time_prev,delta_t_hours,pressure_delta,dispense_rate_pa_per_hr,dispense_rate_lph,valid_gps,delta_volume_l,dispensed_l,date,location_id,in_community
can_001,2026-01-19 00:05:40+00:00,101325,3.82,14.39523,33.52871,0.9,10,3D,0.16,EVENT,DEPLETED,,,,,,,True,,0.0,2026-01-19,loc_003,False
can_001,2026-01-19 00:07:21+00:00,103540,3.65,13.89125,35.49622,1.8,9,3D,4.93,HEARTBEAT,,101325.0,2026-01-19 00:05:40+00:00,0.0280555555555555,2215.0,,,True,9.0316004077472,0.0,2026-01-19,loc_012,False
can_001,2026-01-19 00:08:03+00:00,104024,3.78,15.60635,33.91738,1.0,12,3D,0.96,EVENT,SERVICE_STOP,103540.0,2026-01-19 00:07:21+00:00,0.0116666666666666,484.0,,,True,1.9734964322120288,0.0,2026-01-19,loc_010,False
can_001,2026-01-19 00:08:51+00:00,109897,3.95,15.39167,32.80353,1.3,9,3D,0.67,EVENT,REFILL,104024.0,2026-01-19 00:08:03+00:00,0.0133333333333333,5873.0,,,True,23.94699286442406,0.0,2026-01-19,loc_018,False
can_001,2026-01-19 00:14:15+00:00,110402,4.17,14.00292,31.00291,1.1,9,3D,0.64,EVENT,REFILL,109897.0,2026-01-19 00:08:51+00:00,0.09,505.0,,,True,2.0591233435270135,0.0,2026-01-19,loc_006,True
can_001,2026-01-19 00:17:56+00:00,106494,4.08,14.40914,33.51272,1.8,9,3D,11.93,HEARTBEAT,,107733.0,2026-01-19 00:17:55+00:00,0.0002777777777777,-1239.0,4460400.0,18187.155963302754,True,-5.051987767584099,5.051987767584099,2026-01-19,loc_003,False
can_001,2026-01-19 00:19:51+00:00,101325,4.17,14.39915,33.51229,0.8,13,3D,1.1,EVENT,DEPLETED,106494.0,2026-01-19 00:17:56+00:00,0.0319444444444444,-5169.0,161812.1739130435,659.7846031112884,True,-21.076452599388382,21.076452599388382,2026-01-19,loc_003,True
can_001,2026-01-19 00:21:02+00:00,106090,4.1,14.5074,33.10841,1.8,9,3D,1.35,HEARTBEAT,,101325.0,2026-01-19 00:19:51+00:00,0.0197222222222222,4765.0,,,True,19.429153924566773,0.0,2026-01-19,loc_017,False
can_001,2026-01-19 00:26:01+00:00,104786,3.72,12.9054,33.89572,1.0,12,3D,0.66,EVENT,SERVICE_STOP,106090.0,2026-01-19 00:21:02+00:00,0.0830555555555555,-1304.0,15700.334448160536,64.01767359086865,True,-5.317023445463813,5.317023445463813,2026-01-19,loc_015,True
can_001,2026-01-19 00:34:12+00:00,101325,3.94,15.1004,33.60577,1.0,13,3D,1.39,EVENT,DEPLETED,106490.0,2026-01-19 00:28:44+00:00,0.0911111111111111,-5165.0,56689.0243902439,231.14790780935337,True,-21.06014271151886,21.06014271151886,2026-01-19,loc_003,False
can_001,2026-01-19 00:38:48+00:00,107238,3.98,15.09541,33.60592,1.8,9,3D,3.79,HEARTBEAT,,106656.0,2026-01-19 00:36:46+00:00,0.0338888888888888,582.0,,,True,2.373088685015291,0.0,2026-01-19,loc_003,False
can_001,2026-01-19 00:39:41+00:00,101325,3.79,13.99186,31.00258,1.0,13,3D,0.96,EVENT,DEPLETED,105344.0,2026-01-19 00:38:53+00:00,0.0133333333333333,-4019.0,301425.0,1229.0519877675845,True,-16.387359836901123,16.387359836901123,2026-01-19,loc_006,True
can_001,2026-01-19 00:40:11+00:00,111935,4.2,15.10383,33.59159,1.3,12,3D,1.14,EVENT,REFILL,101325.0,2026-01-19 00:39:41+00:00,0.0083333333333333,10610.0,,,True,43.26197757390418,0.0,2026-01-19,loc_003,False
can_001,2026-01-19 00:43:02+00:00,105588,3.99,13.7083,30.79482,1.0,9,3D,0.14,EVENT,SERVICE_STOP,107334.0,2026-01-19 00:41:25+00:00,0.0269444444444444,-1746.0,64800.0,264.22018348623857,True,-7.119266055045872,7.119266055045872,2026-01-19,loc_019,False
can_001,2026-01-19 00:43:05+00:00,111249,4.14,12.89396,33.8918,1.3,9,3D,0.45,EVENT,REFILL,105588.0,2026-01-19 00:43:02+00:00,0.0008333333333333,5661.0,,,True,23.08256880733945,0.0,2026-01-19,loc_015,False
can_001,2026-01-19 00:44:58+00:00,105678,3.99,15.79629,33.20585,1.8,9,3D,11.07,HEARTBEAT,,111249.0,2026-01-19 00:43:05+00:00,0.0313888888888888,-5571.0,177483.18584070797,723.6827149468215,True,-22.715596330275233,22.715596330275233,2026-01-19,loc_010,True
can_001,2026-01-19 00:47:18+00:00,103186,3.9,12.89262,33.89949,1.8,9,3D,7.4,HEARTBEAT,,105678.0,2026-01-19 00:44:58+00:00,0.0388888888888888,-2492.0,64080.0,261.2844036697248,True,-10.16106014271152,10.16106014271152,2026-01-19,loc_015,True
can_001,2026-01-19 00:51:27+00:00,102326,3.64,14.49931,33.10674,1.8,9,3D,7.6,HEARTBEAT,,103186.0,2026-01-19 00:47:18+00:00,0.0691666666666666,-860.0,12433.734939759035,50.69820566670351,True,-3.506625891946993,3.506625891946993,2026-01-19,loc_017,True
can_001,2026-01-19 00:52:02+00:00,101325,3.85,13.69792,30.79114,1.0,14,3D,1.36,EVENT,DEPLETED,102326.0,2026-01-19 00:51:27+00:00,0.0097222222222222,-1001.0,102960.0,419.81651376146795,True,-4.081549439347604,4.081549439347604,2026-01-19,loc_019,True
can_001,2026-01-19 00:54:59+00:00,104423,4.09,15.09525,33.60557,1.8,9,3D,9.6,HEARTBEAT,,101325.0,2026-01-19 00:52:02+00:00,0.0491666666666666,3098.0,,,True,12.632008154943936,0.0,2026-01-19,loc_003,False
can_001,2026-01-19 01:03:25+00:00,104260,3.6,12.50461,30.49156,2.4,6,2D,9.55,HEARTBEAT,,107587.0,2026-01-19 00:57:57+00:00,0.0911111111111111,-3327.0,36515.85365853659,148.89236965764155,True,-13.565749235474009,13.565749235474009,2026-01-19,loc_009,False
can_001,2026-01-19 01:05:46+00:00,104203,3.58,13.20794,31.1945,1.8,9,3D,7.66,HEARTBEAT,,101531.0,2026-01-19 01:05:32+00:00,0.0038888888888888,2672.0,,,True,10.89500509683996,0.0,2026-01-19,loc_016,False
can_001,2026-01-19 01:08:06+00:00,104319,3.82,12.49195,30.50528,1.0,10,3D,0.77,EVENT,SERVICE_STOP,102844.0,2026-01-19 01:06:06+00:00,0.0333333333333333,1475.0,,,True,6.014271151885831,0.0,2026-01-19,loc_009,False
can_001,2026-01-19 01:13:25+00:00,101325,3.55,12.49248,30.50715,0.9,12,3D,0.97,EVENT,DEPLETED,104968.0,2026-01-19 01:09:58+00:00,0.0575,-3643.0,63356.52173913043,258.33444134202017,True,-14.85423037716616,14.85423037716616,2026-01-19,loc_009,False
can_001,2026-01-19 01:16:25+00:00,111743,4.16,15.61597,32.53775,1.3,9,3D,1.43,EVENT,REFILL,101325.0,2026-01-19 01:13:25+00:00,0.05,10418.0,,,True,42.479102956167175,0.0,2026-01-19,loc_002,True
can_001,2026-01-19 01:25:59+00:00,103607,3.79,14.7978,34.49439,1.8,9,3D,10.34,HEARTBEAT,,111743.0,2026-01-19 01:16:25+00:00,0.1594444444444444,-8136.0,51027.17770034843,208.0618866477,True,-33.174311926605505,33.174311926605505,2026-01-19,loc_013,True
can_001,2026-01-19 01:33:03+00:00,106044,3.77,14.19683,32.09628,1.8,9,3D,2.7,HEARTBEAT,,103607.0,2026-01-19 01:25:59+00:00,0.1177777777777777,2437.0,,,True,9.936799184505606,0.0,2026-01-19,loc_011,True
can_001,2026-01-19 01:38:28+00:00,105806,3.71,14.50058,33.10652,1.5,13,3D,1.43,EVENT,SERVICE_STOP,106044.0,2026-01-19 01:33:03+00:00,0.0902777777777777,-238.0,2636.3076923076924,10.749470712773466,True,-0.9704383282364936,0.9704383282364936,2026-01-19,loc_017,True
can_001,2026-01-19 01:41:31+00:00,109593,3.79,14.91957,33.54831,1.0,9,3D,0.52,EVENT,REFILL,105806.0,2026-01-19 01:38:28+00:00,0.0508333333333333,3787.0,,,True,15.441386340468911,0.0,2026-01-19,loc_003,False
can_001,2026-01-19 01:43:45+00:00,106819,3.64,13.17059,30.21671,1.4,10,3D,0.43,EVENT,SERVICE_STOP,104230.0,2026-01-19 01:42:30+00:00,0.0208333333333333,2589.0,,,True,10.556574923547402,0.0,2026-01-19,loc_004,True
can_001,2026-01-19 01:49:04+00:00,106590,3.77,14.49572,33.09514,1.4,11,3D,1.35,EVENT,SERVICE_STOP,106819.0,2026-01-19 01:43:45+00:00,0.0886111111111111,-229.0,2584.3260188087775,10.53751689626413,True,-0.9337410805300714,0.9337410805300714,2026-01-19,loc_017,True
