location_id,recorded_at,predicted_demand_l
loc_001,2026-01-19 00:02:36+00:00,2885.23049307266
loc_002,2026-01-19 00:02:36+00:00,2194.1041850666506
loc_003,2026-01-19 00:02:36+00:00,4209.251953125001
loc_004,2026-01-19 00:02:36+00:00,1782.7563476562518
loc_005,2026-01-19 00:02:36+00:00,2256.2609863281214
loc_006,2026-01-19 00:02:36+00:00,3883.6458477073575
loc_007,2026-01-19 00:02:36+00:00,2316.407714843746
loc_008,2026-01-19 00:02:36+00:00,2466.8583984375036
loc_009,2026-01-19 00:02:36+00:00,2209.9653320312536
loc_010,2026-01-19 00:02:36+00:00,2101.088623046871
loc_011,2026-01-19 00:02:36+00:00,2495.5678710937455
loc_012,2026-01-19 00:02:36+00:00,2238.6495968272698
loc_013,2026-01-19 00:02:36+00:00,2133.174316406254
loc_014,2026-01-19 00:02:36+00:00,2593.0722656250027
loc_015,2026-01-19 00:02:36+00:00,2634.935791015625
loc_016,2026-01-19 00:02:36+00:00,2208.052978515623
loc_017,2026-01-19 00:02:36+00:00,2415.518798828123
loc_018,2026-01-19 00:02:36+00:00,2312.9460449218786
loc_019,2026-01-19 00:02:36+00:00,1998.2956542968757
